LOAN_AGREEMENT_NO;APPLICATION_DATE;APPLICATION_ID;loan_amount;loan_tenure_in_months;PURPOSE_OF_LOAN;LOAN_PRODUCT;LOAN_PRODUCT_LABEL;EXISTING_LOAN;LTV;Credit_Amount;Branch;STATE;Charge description;Charge Category;EMI;Total Times Paid;Status;grade
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;2508252;City15;ANDHRA PRADESH;AMT FINANCED;Installment Related;1023392;6;0;1
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;41748;City15;ANDHRA PRADESH;AMT FINANCED;Installment Related;1023392;6;0;4
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;9048;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;5
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTVIZ0BL0491727;9 02 2021;551894;2550000;24;BEWC;PL;Method 3;0;100;127924;City15;ANDHRA PRADESH;INSTALLMENT AMOUNT;Installment Related;1023392;6;0;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;86800;City7;MAHARASHTRA;AMT FINANCED;Installment Related;415984;4;1;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;2913200;City7;MAHARASHTRA;AMT FINANCED;Installment Related;415984;4;1;1
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;30822;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;4
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;103996;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;103996;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;103996;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;2
TSTPUN0BL0492502;9 02 2021;551923;3000000;36;BEWC;PL;Method 3;0;100;103996;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;415984;4;1;2
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;27877;City9;CHANDIGARH;AMT FINANCED;Installment Related;203652;4;1;4
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;982123;City9;CHANDIGARH;AMT FINANCED;Installment Related;203652;4;1;1
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;2103;City9;CHANDIGARH;INSTALLMENT AMOUNT;Installment Related;203652;4;1;5
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;50913;City9;CHANDIGARH;INSTALLMENT AMOUNT;Installment Related;203652;4;1;4
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;885;City9;CHANDIGARH;CHEQUE BOUNCING CHARGES;Penalty Charges;203652;4;1;5
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;50913;City9;CHANDIGARH;INSTALLMENT AMOUNT;Installment Related;203652;4;1;4
TSTCHG0BL0495105;12 02 2021;559317;1010000;24;BEWC;PL;Method 2;0;0;50913;City9;CHANDIGARH;INSTALLMENT AMOUNT;Installment Related;203652;4;1;4
TSTCHN0BL0494563;12 02 2021;559326;1520000;36;BEWC;PL;Method 4;0;100;1515000;City3;TAMILNADU;AMT FINANCED;Installment Related;109142;2;1;1
TSTCHN0BL0494563;12 02 2021;559326;1520000;36;BEWC;PL;Method 4;0;100;5000;City3;TAMILNADU;AMT FINANCED;Installment Related;109142;2;1;5
TSTCHN0BL0494563;12 02 2021;559326;1520000;36;BEWC;PL;Method 4;0;100;13118;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;109142;2;1;5
TSTCHN0BL0494563;12 02 2021;559326;1520000;36;BEWC;PL;Method 4;0;100;54571;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;109142;2;1;3
TSTCHN0BL0494563;12 02 2021;559326;1520000;36;BEWC;PL;Method 4;0;100;54571;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;109142;2;1;3
TSTPUN0BL0494505;12 02 2021;559352;3000000;36;BEWC;PL;Method 3;0;100;2969000;City7;MAHARASHTRA;AMT FINANCED;Installment Related;215412;2;1;1
TSTPUN0BL0494505;12 02 2021;559352;3000000;36;BEWC;PL;Method 3;0;100;31000;City7;MAHARASHTRA;AMT FINANCED;Installment Related;215412;2;1;4
TSTPUN0BL0494505;12 02 2021;559352;3000000;36;BEWC;PL;Method 3;0;100;33082;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;215412;2;1;4
TSTPUN0BL0494505;12 02 2021;559352;3000000;36;BEWC;PL;Method 3;0;100;107706;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;215412;2;1;2
TSTPUN0BL0494505;12 02 2021;559352;3000000;36;BEWC;PL;Method 3;0;100;107706;City7;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;215412;2;1;2
TSTJPR0BL0494724;12 02 2021;559318;3000000;36;BEWC;PL;Method 4;0;0;59250;City12;RAJASTHAN;AMT FINANCED;Installment Related;213916;2;1;3
TSTJPR0BL0494724;12 02 2021;559318;3000000;36;BEWC;PL;Method 4;0;0;2940750;City12;RAJASTHAN;AMT FINANCED;Installment Related;213916;2;1;1
TSTJPR0BL0494724;12 02 2021;559318;3000000;36;BEWC;PL;Method 4;0;0;16767;City12;RAJASTHAN;INSTALLMENT AMOUNT;Installment Related;213916;2;1;4
TSTJPR0BL0494724;12 02 2021;559318;3000000;36;BEWC;PL;Method 4;0;0;106958;City12;RAJASTHAN;INSTALLMENT AMOUNT;Installment Related;213916;2;1;2
TSTJPR0BL0494724;12 02 2021;559318;3000000;36;BEWC;PL;Method 4;0;0;106958;City12;RAJASTHAN;INSTALLMENT AMOUNT;Installment Related;213916;2;1;2
TSTAHM0BL0494655;12 02 2021;559351;1500000;36;BEWC;PL;Method 3;0;60;1485000;City8;GUJARAT;AMT FINANCED;Installment Related;108458;2;1;1
TSTAHM0BL0494655;12 02 2021;559351;1500000;36;BEWC;PL;Method 3;0;60;15000;City8;GUJARAT;AMT FINANCED;Installment Related;108458;2;1;5
TSTAHM0BL0494655;12 02 2021;559351;1500000;36;BEWC;PL;Method 3;0;60;9616;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;108458;2;1;5
TSTAHM0BL0494655;12 02 2021;559351;1500000;36;BEWC;PL;Method 3;0;60;54229;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;108458;2;1;3
TSTAHM0BL0494655;12 02 2021;559351;1500000;36;BEWC;PL;Method 3;0;60;54229;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;108458;2;1;3
TSTCHN0BL0494541;12 02 2021;559355;3030000;48;BEWC;PL;Method 6;1;100;1672451;City3;TAMILNADU;AMT FINANCED;Installment Related;252981;3;1;1
TSTCHN0BL0494541;12 02 2021;559355;3030000;48;BEWC;PL;Method 6;1;100;1316379;City3;TAMILNADU;AMT FINANCED;Installment Related;252981;3;1;1
TSTCHN0BL0494541;12 02 2021;559355;3030000;48;BEWC;PL;Method 6;1;100;41170;City3;TAMILNADU;AMT FINANCED;Installment Related;252981;3;1;4
TSTCHN0BL0494541;12 02 2021;559355;3030000;48;BEWC;PL;Method 6;1;100;23659;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;252981;3;1;4
TSTCHN0BL0494541;12 02 2021;559355;3030000;48;BEWC;PL;Method 6;1;100;84327;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;252981;3;1;2
TSTCHN0BL0494541;12 02 2021;559355;3030000;48;BEWC;PL;Method 6;1;100;84327;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;252981;3;1;2
TSTCHN0BL0494541;12 02 2021;559355;3030000;48;BEWC;PL;Method 6;1;100;84327;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;252981;3;1;2
TSTRJK0BL0494575;12 02 2021;559345;1500000;36;BEWC;PL;Method 2;0;60;50400;City6;GUJARAT;AMT FINANCED;Installment Related;109968;2;1;4
TSTRJK0BL0494575;12 02 2021;559345;1500000;36;BEWC;PL;Method 2;0;60;1449600;City6;GUJARAT;AMT FINANCED;Installment Related;109968;2;1;1
TSTRJK0BL0494575;12 02 2021;559345;1500000;36;BEWC;PL;Method 2;0;60;13274;City6;GUJARAT;INSTALLMENT AMOUNT;Installment Related;109968;2;1;5
TSTRJK0BL0494575;12 02 2021;559345;1500000;36;BEWC;PL;Method 2;0;60;54984;City6;GUJARAT;INSTALLMENT AMOUNT;Installment Related;109968;2;1;3
TSTRJK0BL0494575;12 02 2021;559345;1500000;36;BEWC;PL;Method 2;0;60;54984;City6;GUJARAT;INSTALLMENT AMOUNT;Installment Related;109968;2;1;3
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;500000;City1;MAHARASHTRA;AMT FINANCED;Installment Related;111996;7;0;1
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;300000;City1;MAHARASHTRA;AMT FINANCED;Installment Related;111996;7;0;1
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;4603;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTMUM0BL0489390;5 03 2021;545875;800000;72;BEWC;PL;Method 7;1;32;9333;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;111996;7;0;5
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;36462;City13;DELHI;AMT FINANCED;Installment Related;796960;6;0;4
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;1571538;City13;DELHI;AMT FINANCED;Installment Related;796960;6;0;1
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;9879;City13;DELHI;INSTALLMENT AMOUNT;Installment Related;796960;6;0;5
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;79696;City13;DELHI;INSTALLMENT AMOUNT;Installment Related;796960;6;0;3
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;79696;City13;DELHI;INSTALLMENT AMOUNT;Installment Related;796960;6;0;3
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;79696;City13;DELHI;INSTALLMENT AMOUNT;Installment Related;796960;6;0;3
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;79696;City13;DELHI;INSTALLMENT AMOUNT;Installment Related;796960;6;0;3
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;79696;City13;DELHI;INSTALLMENT AMOUNT;Installment Related;796960;6;0;3
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;79696;City13;DELHI;INSTALLMENT AMOUNT;Installment Related;796960;6;0;3
TSTDLH0BL0489858;7 03 2021;547488;1608000;24;BEWC;PL;Method 3;0;0;79696;City13;DELHI;INSTALLMENT AMOUNT;Installment Related;796960;6;0;3
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;1990000;City5;KARNATAKA;AMT FINANCED;Installment Related;730280;6;0;1
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;30000;City5;KARNATAKA;AMT FINANCED;Installment Related;730280;6;0;4
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;1992;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;730280;6;0;5
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;73028;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;730280;6;0;3
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;73028;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;730280;6;0;3
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;73028;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;730280;6;0;3
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;73028;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;730280;6;0;3
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;73028;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;730280;6;0;3
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;73028;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;730280;6;0;3
TSTBNG0BL0490300;7 03 2021;547511;2020000;36;BEWC;PL;Method 4;0;81;73028;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;730280;6;0;3
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;129488;City1;MAHARASHTRA;AMT FINANCED;Installment Related;52955;12;0;2
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;137512;City1;MAHARASHTRA;AMT FINANCED;Installment Related;52955;12;0;2
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;2663;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0489767;7 03 2021;547484;267000;72;BEWC;PL;Method 7;1;100;3115;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;52955;12;0;5
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;53400;City1;MAHARASHTRA;AMT FINANCED;Installment Related;488061;6;0;4
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;1446600;City1;MAHARASHTRA;AMT FINANCED;Installment Related;488061;6;0;1
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;11096;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;488061;6;0;5
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;54229;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;488061;6;0;3
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;54229;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;488061;6;0;3
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;54229;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;488061;6;0;3
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;54229;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;488061;6;0;3
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;54229;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;488061;6;0;3
TSTMUM0BL0490574;8 03 2021;549472;1500000;36;BEWC;PL;Method 4;0;60;54229;City1;MAHARASHTRA;INSTALLMENT AMOUNT;Installment Related;488061;6;0;3
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;1287000;City8;GUJARAT;AMT FINANCED;Installment Related;428877;6;0;1
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;13000;City8;GUJARAT;AMT FINANCED;Installment Related;428877;6;0;5
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;9474;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;428877;6;0;5
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;47653;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;428877;6;0;4
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;47653;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;428877;6;0;4
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;47653;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;428877;6;0;4
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;47653;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;428877;6;0;4
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;47653;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;428877;6;0;4
TSTAHM0BL0490598;8 03 2021;549446;1300000;36;BEWC;PL;Method 3;0;52;47653;City8;GUJARAT;INSTALLMENT AMOUNT;Installment Related;428877;6;0;4
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;66108;City3;TAMILNADU;AMT FINANCED;Installment Related;612678;7;0;3
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;1463892;City3;TAMILNADU;AMT FINANCED;Installment Related;612678;7;0;1
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;15510;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;5
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;15510;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;5
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;55698;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;3
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;55698;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;3
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;55698;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;3
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;55698;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;3
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;55698;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;3
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;55698;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;3
TSTCHN0BL0490526;8 03 2021;549481;1530000;36;BEWC;PL;Method 4;0;100;55698;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;612678;7;0;3
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;86508;City5;KARNATAKA;AMT FINANCED;Installment Related;2270810;7;0;2
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;2943492;City5;KARNATAKA;AMT FINANCED;Installment Related;2270810;7;0;1
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;2988;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;2270810;7;0;5
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;227081;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;2270810;7;0;1
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;227081;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;2270810;7;0;1
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;227081;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;2270810;7;0;1
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;227081;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;2270810;7;0;1
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;14.74;City5;KARNATAKA;OVERDUE INTEREST;Penalty Charges;2270810;7;0;5
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;227081;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;2270810;7;0;1
TSTBNG0BL0491411;8 03 2021;549466;3030000;15;BEWC;PL;Method 3;0;100;227081;City5;KARNATAKA;INSTALLMENT AMOUNT;Installment Related;2270810;7;0;1
TSTSRN0BL0491622;9 03 2021;551953;3030000;24;BEWC;PL;Method 4;0;100;3000000;City4;TELANGANA;AMT FINANCED;Installment Related;1053773;5;0;1
TSTSRN0BL0491622;9 03 2021;551953;3030000;24;BEWC;PL;Method 4;0;100;30000;City4;TELANGANA;AMT FINANCED;Installment Related;1053773;5;0;4
TSTSRN0BL0491622;9 03 2021;551953;3030000;24;BEWC;PL;Method 4;0;100;14527;City4;TELANGANA;INSTALLMENT AMOUNT;Installment Related;1053773;5;0;5
TSTSRN0BL0491622;9 03 2021;551953;3030000;24;BEWC;PL;Method 4;0;100;150539;City4;TELANGANA;INSTALLMENT AMOUNT;Installment Related;1053773;5;0;1
TSTSRN0BL0491622;9 03 2021;551953;3030000;24;BEWC;PL;Method 4;0;100;150539;City4;TELANGANA;INSTALLMENT AMOUNT;Installment Related;1053773;5;0;1
TSTSRN0BL0491622;9 03 2021;551953;3030000;24;BEWC;PL;Method 4;0;100;150539;City4;TELANGANA;INSTALLMENT AMOUNT;Installment Related;1053773;5;0;1
TSTSRN0BL0491622;9 03 2021;551953;3030000;24;BEWC;PL;Method 4;0;100;150539;City4;TELANGANA;INSTALLMENT AMOUNT;Installment Related;1053773;5;0;1
TSTSRN0BL0491622;9 03 2021;551953;3030000;24;BEWC;PL;Method 4;0;100;150539;City4;TELANGANA;INSTALLMENT AMOUNT;Installment Related;1053773;5;0;1
TSTCHN0BL0491535;9 03 2021;551966;680000;24;BEWC;PL;Method 3;0;100;31048;City3;TAMILNADU;AMT FINANCED;Installment Related;280357;5;0;4
TSTCHN0BL0491535;9 03 2021;551966;680000;24;BEWC;PL;Method 3;0;100;648952;City3;TAMILNADU;AMT FINANCED;Installment Related;280357;5;0;1
TSTCHN0BL0491535;9 03 2021;551966;680000;24;BEWC;PL;Method 3;0;100;5725;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;280357;5;0;5
TSTCHN0BL0491535;9 03 2021;551966;680000;24;BEWC;PL;Method 3;0;100;40051;City3;TAMILNADU;INSTALLMENT AMOUNT;Installment Related;280357;5;0;4
